book_id,authors,original_publication_year,original_title,language_code
70,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",eng
71,Stephen King,1977.0,The Shining,eng
72,Stephenie Meyer,2008.0,The Host,en-US
73,John Green,2005.0,Looking for Alaska,eng
74,Helen Fielding,1996.0,,eng
75,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng
76,"Louis Sachar, Louis Sachar",1998.0,Holes,eng
77,Lauren Weisberger,2003.0,The Devil Wears Prada,eng
78,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,eng
79,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,eng
80,Jeannette Walls,2005.0,The Glass Castle,eng
81,Jon Krakauer,1996.0,Into the Wild,eng
82,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng
83,Michael Crichton,1990.0,Jurassic Park,spa
84,Shel Silverstein,1964.0,The Giving Tree,eng
85,John Grisham,1989.0,A Time to Kill,eng
86,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,eng
87,John Green,2008.0,Paper Towns,en-US
88,William Goldman,1973.0,The Princess Bride,en-US
89,S.E. Hinton,1967.0,The Outsiders,en-US
90,James Dashner,2009.0,The Maze Runner,eng
91,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US
92,Frances Hodgson Burnett,1911.0,The Secret Garden,eng
93,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,eng
94,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng
95,E.L. James,2012.0,Fifty Shades Freed,eng
96,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng
97,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,eng
98,E.L. James,2011.0,Fifty Shades Darker,eng
99,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng
100,David Sedaris,2000.0,Me Talk Pretty One Day,eng
101,Maurice Sendak,1963.0,Where the Wild Things Are,eng
102,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,eng
103,Cormac McCarthy,2006.0,The Road,eng
104,Veronica Roth,2013.0,Allegiant,eng
105,Tina Fey,2011.0,Bossypants,eng
106,Nicholas Sparks,1999.0,A Walk to Remember,en-US
107,Sophie Kinsella,2000.0,Confessions of a Shopaholic,eng
108,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng
109,George R.R. Martin,1998.0,A Clash of Kings,eng
110,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng
111,Jojo Moyes,2012.0,Me Before You,eng
112,Joseph Heller,1961.0,Catch-22,en-US
113,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,eng
114,Jeffrey Eugenides,2002.0,Middlesex,en-US
115,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,eng
116,Madeleine L'Engle,1962.0,A Wrinkle in Time,en-US
117,Amy Tan,1989.0,The Joy Luck Club,eng
118,Margaret Atwood,1985.0,The Handmaid's Tale,eng
119,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,eng
120,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,eng
121,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,eng
122,John Grisham,1991.0,The Firm,eng
123,Emma Donoghue,2010.0,Room,eng
124,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",eng
125,Frank Herbert,1965.0,Dune,eng
126,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,eng
127,Walter Isaacson,2011.0,Steve Jobs,eng
128,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,eng
129,Ernest Hemingway,1952.0,The Old Man and the Sea,eng
130,John Steinbeck,1939.0,The Grapes of Wrath,eng
131,Mitch Albom,2003.0,The Five People You Meet in Heaven,
132,L.M. Montgomery,1908.0,Anne of Green Gables,eng
133,Cassandra Clare,2009.0,City of Glass,en-US
134,George R.R. Martin,2000.0,A Storm of Swords,eng
135,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,en-US
136,Diana Gabaldon,1991.0,Outlander,eng
137,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,eng
138,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,en-US
139,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,en-US
140,Andy Weir,2012.0,The Martian,eng
141,Ken Follett,1989.0,The Pillars of the Earth,eng
142,Anthony Doerr,2014.0,,eng
143,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
144,Dan Brown,2001.0,Deception Point,eng
145,Donna Tartt,2013.0,The Goldfinch,eng
146,Jay Asher,2007.0,Thirteen Reasons Why,eng
147,Tracy Chevalier,1999.0,Girl with a Pearl Earring,eng
148,Gayle Forman,2009.0,If I Stay,en-US
149,Anita Diamant,1997.0,The Red Tent,en-US
150,Rick Riordan,2006.0,The Sea of Monsters,eng
151,Nicholas Sparks,2006.0,Dear John,en-US
152,Cassandra Clare,2008.0,City of Ashes,eng
153,William Shakespeare,1606.0,The Tragedy of Macbeth,eng
154,J.R.R. Tolkien,1954.0,The Two Towers,en-US
155,Emily Giffin,2004.0,Something Borrowed,eng
156,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,en-US
157,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,eng
158,Rick Riordan,2008.0,The Battle of the Labyrinth,eng
159,Charles Dickens,1860.0,Great Expectations,eng
160,J.R.R. Tolkien,1955.0,The Return of the King,en-US
161,"Albert Camus, Matthew    Ward",1942.0,L’Étranger,eng
162,Rick Riordan,2010.0,The Lost Hero,eng
163,Rainbow Rowell,2013.0,Eleanor & Park,eng
164,George R.R. Martin,2005.0,A Feast for Crows,en-US
165,Ally Condie,2010.0,Matched,eng
166,Neil Gaiman,2001.0,American Gods,eng
167,"Stephen King, Bernie Wrightson",1978.0,The Stand,en-US
168,Nicholas Sparks,2008.0,The Last Song,en-GB
169,Dan Brown,1998.0,Digital Fortress,en-GB
170,"Jane Austen, Fiona Stafford",1815.0,Emma,eng
171,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,eng
172,Anthony Burgess,1962.0,A Clockwork Orange,eng
173,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,eng
174,Rick Riordan,2009.0,The Last Olympian,eng
175,Stephen King,1986.0,It,en-US
176,"Fyodor Dostoyevsky, David McDuff",1866.0,Преступление и наказание,eng
177,Sylvia Plath,1963.0,The Bell Jar,en-US
178,Frank McCourt,1996.0,Angela's Ashes: A Memoir,eng
179,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,eng
180,Truman Capote,1965.0,In Cold Blood,eng
181,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,eng
182,Cassandra Clare,2010.0,Clockwork Angel,eng
183,"Roald Dahl, Quentin Blake",1988.0,Matilda,eng
184,Erin Morgenstern,2011.0,The Night Circus,eng
185,Philippa Gregory,2001.0,The Other Boleyn Girl,eng
186,Scott Westerfeld,2005.0,Uglies,eng
187,George R.R. Martin,2011.0,A Dance with Dragons,eng
188,J.R.R. Tolkien,1955.0,The Lord of the Rings,eng
189,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,eng
190,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,en-US
191,Patrick Rothfuss,2007.0,The Name of the Wind,eng
192,Malcolm Gladwell,2008.0,Outliers: The Story of Success,en-US
193,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale",eng
194,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,eng
195,Chuck Palahniuk,1996.0,Fight Club,eng
196,Charlaine Harris,2001.0,Dead Until Dark,en-US
197,Alice Walker,1982.0,The Color Purple,eng
198,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,eng
199,Agatha Christie,1939.0,Ten Little Niggers,eng
200,Dan Brown,2009.0,The Lost Symbol,eng
201,Becca Fitzpatrick,2009.0,"Hush, Hush",en-US
202,Jamie McGuire,2011.0,Beautiful Disaster,eng
203,Charles Dickens,1843.0,A Christmas Carol,
204,Anne Rice,1976.0,Interview with the Vampire,eng
205,Kiera Cass,2012.0,The Selection,en-US
206,Janet Evanovich,1994.0,One for the Money,en-US
207,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,eng
208,Thomas Harris,1988.0,The Silence of the Lambs,eng
209,Richelle Mead,2007.0,,en-US
210,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,en-US
211,Ian McEwan,2001.0,Atonement,eng
212,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,eng
213,Rick Riordan,2007.0,The Titan's Curse,eng
214,Ernest Cline,2011.0,,eng
215,Garth Stein,2006.0,The Art of Racing in the Rain,eng
216,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",eng
217,Sylvia Day,2012.0,Bared to You,eng
218,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,eng
219,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,en-US
220,Dave Pelzer,1995.0,"A Child Called ""It"": One Child's Courage to Survive",eng
221,Robert Ludlum,1980.0,The Bourne Identity,eng
222,Eoin Colfer,2001.0,Artemis Fowl,eng
223,Lauren Kate,2009.0,Fallen,en-US
224,John Steinbeck,1952.0,East of Eden  ,eng
225,Gillian Flynn,2009.0,Dark Places,eng
226,John Grisham,1993.0,The Client,eng
227,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,eng
228,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,eng
229,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,eng
230,Tatiana de Rosnay,2007.0,Elle s'appelait Sarah,eng
231,Stephen King,1982.0,The Gunslinger,en-US
232,"Gabriel García Márquez, Edith Grossman",1985.0,El amor en los tiempos del cólera,eng
233,Laurie Halse Anderson,1999.0,Speak,eng
234,Liane Moriarty,2013.0,The Husband's Secret ,eng
235,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,en-US
236,Stephen King,1974.0,Carrie,
237,Augusten Burroughs,2002.0,Running with Scissors,en-US
238,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,en-US
239,Dan Brown,2013.0,Inferno,eng
240,Lois Lowry,1989.0,Number the Stars,eng
241,James Patterson,1993.0,Along Came a Spider,eng
242,Stephen King,1987.0,Misery,en-GB
243,Gillian Flynn,2006.0,Sharp Objects,en-US
244,Katherine Paterson,1977.0,Bridge to Terabithia,eng
245,"P.C. Cast, Kristin Cast",2007.0,Marked,en-US
246,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People,en-US
247,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,eng
248,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,en-US
249,R.J. Palacio,2012.0,Wonder,eng
250,Dr. Seuss,1957.0,The Cat in the Hat,eng
251,Marissa Meyer,2012.0,Cinder,eng
252,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,en-US
253,Maggie Stiefvater,2009.0,Shiver,eng
254,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,eng
255,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea ,en-US
256,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,,eng
257,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,eng
258,James Dashner,2010.0,The Scorch Trials,eng
259,Dale Carnegie,1936.0,How to Win Friends and Influence People,eng
260,Frances Mayes,1996.0,Under the Tuscan Sun,eng
261,Liane Moriarty,2014.0,Big Little Lies,eng
262,Gail Carson Levine,1997.0,Ella Enchanted,eng
263,Ernest Hemingway,1926.0,The Sun Also Rises,en-US
264,Betty  Smith,1943.0,A Tree Grows In Brooklyn ,eng
265,James Patterson,1995.0,Kiss the Girls,eng
266,Kristin Hannah,2015.0,The Nightingale,eng
267,Kazuo Ishiguro,2005.0,Never Let Me Go,eng
268,Cecelia Ahern,2003.0,"PS, I Love You",en-US
269,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,en-US
270,Daniel Keyes,1966.0,Flowers for Algernon,en-US
271,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0,Como agua para chocolate,en-US
272,Lisa See,2005.0,Snow Flower and the Secret Fan,eng
273,"Mario Puzo, Robert Thompson, Peter Bart",1969.0,The Godfather,eng
274,John Green,2006.0,An Abundance of Katherines,eng
275,Isaac Asimov,1951.0,Foundation,eng
276,Neil Gaiman,2013.0,The Ocean at the End of the Lane,eng
277,Shel Silverstein,1981.0,A Light in the Attic,eng
278,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0,"Harry Potter and the Cursed Child, Parts One and Two",eng
279,Lauren Oliver,2011.0,Delirium,eng
280,John Grisham,1992.0,The Pelican Brief,eng
281,Neil Gaiman,2002.0,Coraline,eng
282,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US
283,Jack Kerouac,1955.0,On the Road,eng
284,Graeme Simsion,2013.0,The Rosie Project,eng
285,Nicholas Sparks,2008.0,The Lucky One,en-US
286,"Ayn Rand, Leonard Peikoff",1943.0,The Fountainhead,eng
287,Tom Clancy,1984.0,The Hunt for Red October,
288,Richard Adams,1972.0,Watership Down,eng
289,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),eng
290,Abraham Verghese,2009.0,Cutting for Stone,eng
291,"C.S. Lewis, Pauline Baynes",1951.0,The Voyage of the Dawn Treader,eng
292,Robert Louis Stevenson,1882.0,Treasure Island,eng
293,Rick Riordan,2011.0,The Son of Neptune ,eng
294,Stephen King,2011.0,11/22/63,eng
295,Eric Carle,1969.0,The Very Hungry Caterpillar,eng
296,Kurt Vonnegut Jr.,1963.0,Cat's Cradle,eng
297,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,eng
298,"Todd Burpo, Lynn Vincent",2010.0,,eng
299,John Boyne,2006.0,The Boy in the Striped Pyjamas,eng
300,Joseph Conrad,1899.0,Heart of Darkness,eng
301,Nicholas Sparks,2010.0,Safe Haven,eng
302,Rhonda Byrne,2006.0,The Secret,eng
303,Wally Lamb,1998.0,I Know This Much Is True ,eng
304,Stephen King,1983.0,Pet Sematary,eng
305,Wally Lamb,1992.0,She's Come Undone,en-US
306,Patrick Rothfuss,2011.0,The Wise Man's Fear,eng
307,Sophie Kinsella,2003.0,Can You Keep a Secret?,en-US
308,Cassandra Clare,2011.0,City of Fallen Angels,en-US
309,Jennifer Weiner,2001.0,Good in Bed,en-US
310,Colleen McCullough,1977.0,The Thorn Birds,eng
311,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,en-US
312,M.L. Stedman,2012.0,The Light Between Oceans,eng
313,"Cornelia Funke, Anthea Bell",2003.0,Tintenherz,en-US
314,"Spencer Johnson, Kenneth H. Blanchard",1998.0,Who Moved My Cheese?,eng
315,Bill Bryson,1997.0,A Walk in the Woods,eng
316,Maya Angelou,1969.0,I Know Why the Caged Bird Sings,en-US
317,Christina Baker Kline,2013.0,Orphan Train,eng
318,Cassandra Clare,2012.0,City of Lost Souls,eng
319,Maria Semple,2012.0,"Where'd You Go, Bernadette",eng
320,Wilson Rawls,1961.0,Where the Red Fern Grows,
321,Neil Gaiman,1996.0,Neverwhere,eng
322,"Milan Kundera, Michael Henry Heim",1984.0,Nesnesitelná lehkost bytí,eng
323,Rainbow Rowell,2013.0,,eng
324,John Irving,1989.0,A Prayer for Owen Meany,eng
325,Janet Fitch,1999.0,White Oleander,eng
326,Marie Lu,2011.0,Legend,eng
327,Jodi Picoult,2007.0,Nineteen Minutes,eng
328,"Randy Pausch, Jeffrey Zaslow",2008.0,The Last Lecture,eng
329,Robert Jordan,1990.0,The Eye of the World,eng
330,Jodi Picoult,1998.0,The Pact,en-US
331,C.S. Lewis,1953.0,The magician's nephew,eng
332,Lisa Genova,2007.0,Still Alice,eng
333,Sylvia Day,2012.0,Reflected in You,eng
334,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,eng
335,James Patterson,2001.0,1st To Die,en-US
336,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,eng
337,David Nicholls,2009.0,One Day,eng
338,"Margaret Wise Brown, Clement Hurd",1947.0,,en-US
339,Pittacus Lore,2010.0,I Am Number Four,en-US
340,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,Ἰλιάς,eng
341,J.K. Rowling,2012.0,The Casual Vacancy,eng
342,John Grisham,1996.0,The Runaway Jury,eng
343,David Sedaris,1997.0,Naked,en-US
344,Christopher Paolini,2005.0,Eldest,en-US
345,"L. Frank Baum, W.W. Denslow",1900.0,The Wonderful Wizard of Oz,eng
346,C.S. Lewis,1951.0,Prince Caspian: The Return to Narnia,eng
347,E. Lockhart,2014.0,We Were Liars,eng
348,Stephen King,1975.0,Salem's Lot,en-GB
349,"Hunter S. Thompson, Ralph Steadman",1971.0,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,eng
350,Cassandra Clare,2011.0,Clockwork Prince,eng
351,Amy Poehler,2014.0,Yes Please,eng
352,William Shakespeare,1603.0,"The Tragedy of Othello, The Moor of Venice",eng
353,Toni Morrison,1987.0,Beloved,eng
354,Kristin Cashore,2008.0,Graceling,en-CA
355,"Lemony Snicket, Brett Helquist",1999.0,The Bad Beginning,eng
356,"Erich Maria Remarque, A.W. Wheen",1929.0,Im Westen nichts Neues,en-US
357,Dr. Seuss,1990.0,"Oh, the Places You'll Go!",en-US
358,Khaled Hosseini,2012.0,And The Mountains Echoed,eng
359,"Philip K. Dick, Roger Zelazny",1968.0,Do Androids Dream of Electric Sheep?,eng
360,"Charles Dickens, George Cruikshank, Philip Horne",1838.0,Oliver Twist,eng
361,C.S. Lewis,1942.0,A Grief Observed,eng
362,Stephanie Perkins,2010.0,Anna and the French Kiss,en-US
363,Dr. Seuss,1957.0,How the Grinch Stole Christmas!,eng
364,"Alan Moore, David   Lloyd",1990.0,V for Vendetta,eng
365,David McCullough,2001.0,John Adams,eng
366,Dean Koontz,2003.0,Odd Thomas,eng
367,Philip Pullman,1997.0,The Subtle Knife,eng
368,Jerry Spinelli,2000.0,Stargirl,eng
369,Rick Riordan,2010.0,The Red Pyramid,eng
370,Robert A. Heinlein,1961.0,Stranger in a Strange Land,eng
371,David Sedaris,2004.0,Dress Your Family in Corduroy and Denim,eng
372,"Roald Dahl, Quentin Blake",1982.0,The BFG,eng
373,Bill Bryson,2003.0,A Short History of Nearly Everything,en-US
374,Jack London,1903.0,The Call of the Wild,eng
375,James Dashner,2011.0,The Death Cure,eng
376,Neil Gaiman,1999.0,Stardust,eng
377,Jhumpa Lahiri,2003.0,The Namesake,en-US
378,Deborah Harkness,2011.0,A Discovery of Witches,eng
379,"Haruki Murakami, Jay Rubin",1987.0,ノルウェイの森 [Noruwei no Mori],eng
380,Billie Letts,1995.0,Where the Heart Is,en-US
381,"John Green, David Levithan",2010.0,"Will Grayson, Will Grayson",eng
382,James Frey,2003.0,A Million Little Pieces,en-CA
383,Richelle Mead,2008.0,Frostbite,eng
384,Susan Cain,2012.0,Quiet: The Power of Introverts in a World that Can't Stop Talking,eng
385,Scott O'Dell,1960.0,Island of the Blue Dolphins,en-CA
386,"Arthur Miller, Christopher Bigsby",1953.0,The Crucible,eng
387,Gary Paulsen,1986.0,Hatchet,en-US
388,Brandon Sanderson,2006.0,Mistborn : The Final Empire,eng
389,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1886.0,The Strange Case of Dr Jekyll and Mr Hyde,eng
390,Dr. Seuss,1971.0,The Lorax,eng
391,Jeff Kinney,2004.0,Greg Heffley's Journal,en-US
392,Sarah J. Maas,2012.0,Throne of Glass,eng
393,Richelle Mead,2008.0,Shadow Kiss,en-US
394,Ernest Hemingway,1940.0,For Whom the Bell Tolls,eng
395,Jamie Ford,2009.0,Hotel on the Corner of Bitter and Sweet,eng
396,"Patrick Süskind, John E. Woods",1985.0,Das Parfum. Die Geschichte eines Mörders,eng
397,Eric Schlosser,2001.0,Fast Food Nation : The Dark Side of the All-American Meal ,eng
398,J.K. Rowling,2007.0,The Tales of Beedle the Bard,en-US
399,William Gibson,1984.0,Neuromancer,eng
400,Ernest Hemingway,1929.0,A Farewell to Arms,en-US
401,Edgar Allan Poe,1843.0,The Tell-Tale Heart,en-GB
402,"Sun Tzu, Thomas Cleary",-500.0,孫子兵法 [Sūnzi bīngfǎ],eng
403,William Landay,2012.0,Defending Jacob,eng
404,Kurt Vonnegut Jr.,1973.0,Breakfast of Champions,eng
405,Betty Edwards,1979.0,Drawing on the Right Side of the Brain,en-US
406,Ann Patchett,2001.0,Bel Canto,eng
407,Jared Diamond,1997.0,"Guns, Germs, and Steel: The Fates of Human Societies",eng
408,Fannie Flagg,1987.0,Fried Green Tomatoes at the Whistle Stop Cafe,
409,Chinua Achebe,1958.0,Things Fall Apart,en-US
410,Sophie Kinsella,2005.0,The Undomestic Goddess,eng
411,Gary Chapman,1990.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,en-US
412,Alexandre Dumas,1844.0,Les Trois Mousquetaires,
413,Chris Cleave,2008.0,The Other Hand,en-US
414,Alyson Noel,2009.0,Evermore,en-US
415,"Roald Dahl, Quentin Blake",1983.0,The Witches,en-US
416,Diane Setterfield,2006.0,The Thirteenth Tale,eng
417,Richelle Mead,2010.0,Spirit Bound,eng
418,Richelle Mead,2009.0,Blood Promise,en-US
419,Nicholas Sparks,1998.0,Message in a Bottle,en-US
420,Paula McLain,2011.0,The Paris Wife,eng
421,J.K. Rowling,1998.0,Complete Harry Potter Boxed Set,eng
422,Kiera Cass,2013.0,The Elite,eng
423,"Umberto Eco, William Weaver, Seán Barrett",1980.0,Il nome della rosa,en-US
424,"Beatrice Sparks, Anonymous",1971.0,Go Ask Alice,eng
425,"John Kennedy Toole, Walker Percy",1980.0,A Confederacy of Dunces,eng
426,Oscar Wilde,1895.0,The Importance of Being Earnest,eng
427,Rick Riordan,2012.0,The Mark of Athena,eng
428,Terry Pratchett,1983.0,The Colour of Magic,eng
